Contract Start,Invoice Number,Client Name,Services,Addons,Type,Invoice Date,Service April MRR Amount(Rs),Addons MRR Amount(Rs),Total April MRR Amount(Service _ addons(Rs)),Payment Status,Client Status
01-Jun,GPPL/2025-26/14,Vip Industries Limited,Digital Marketing Services,"1.Social Media – June 2025
2.Content creator for UGC campaign
3.Digital Marketing Services with agency fees 5%
-4 Shorts (from the shorts)
-4 Long Format videos
-15 seconder edits with hooks from the creator's
-6 months promotional rights


",Retainer,01-Jun,"3,71,700","2,35,410 + 1,13,988 + 1,23,900","8,44,998",Paid,
01-Jun,GPPL/2025-26/25,Toyo Ink India Private Limited,Website Development Services(SSL),,,01-Jun,"1,097.40",,"1,097.40",Paid,
01-Jun,GPPL/2025-26/1,Carrier Airconditioning,"Digital Marketing Services
1.Retainership Month Of May 2025
2.Retainership Month of June 2025
","
1.Outdoor advertising RESIDENTIAL SIGNAGE RAJAMUDHARY, AHMEDABAD RAIPUR, KOZHIKODE PUNJAB, JALANDHAR AMRITSAR, PATIALA, BHATINDA

",,01-Jun,"3,77,600","96,70,132.33","1,00,47,732.33",Paid,
01-Jun,GPPL/2025-26/35,JIO Things Limited,"Digital Marketing Services
Media & Marketing April 2025

",,,01-Jun,"7,08,000",,"7,08,000",Paid,
01-Jun,GPPL/2025-26/35,Cloud Photonix pvt Ltd,Digital Marketing Services Website Development,1 Content Writing Services,Contract,01-Jun,"1,18,000",23600,"1,41,600",Paid,
01-Jun,GPPL/2025-26/33,Utkarsh Bank Finance bank limited,Digital Marketing Services Google ads,,,01-Jun,"5,58,140",,"5,58,140",Paid,
01-Jun,GPPL/2025-26/21,DJT Fashion Private Limited,Digital Marketing Services Retainer Month of May 2025,,,01-Jun,"2,06,500",,"2,06,500",Paid,
01-Jun,GPPL/2025-26/28,The Computers India,240V/200 AH LITHIUM BATTERY (20 KW Cell),,,01-Jun,"8,51,960",,"8,51,960",Paid,
01-Jun,GPPL/2025-26/29,The Computers India,"1.25 KVA/240V HYBRID INVERTER 3 P (2nd Generation)
2.CABLING + BOX + COUPLER + INSTALLATION
Panel 550 WT MONO HALF CUT NON DCR

",,,01-Jun,"11,83,515.22",,"11,83,515.22",Paid,
01-Jun,GPPL/2025-26/37,Shyam Metalics and energy limtied,Digital Marketing Services Retainer Month of May 2025,"1.Air Ticket Booking Services
2.Hotel Booking Services",,01-Jun,"2,95,000",82602.36 + 20350.87,"3,97,953.23",Paid,
